ERG,Ecoregion,dhw_glob,population_glob,interaction_glob,dhw_mpa,population_mpa,interaction_mpa,dhw_non_mpa,population_non_mpa,interaction_non_mpa
ERG001,North and central Red Sea,,,,,,,,,
ERG002,South Red Sea,,,,,,,,,
ERG003,Gulf of Aden,,,,,,,,,
ERG004,North-west Arabian Sea,,,,,,,,,
ERG005,Gulf of Oman,0,0,0,0,0,0,0,0,0
ERG006,Persian Gulf,,,,,,,,,
ERG007,Socotra Archipelago,,,,,,,,,
ERG008,East Somali coast,,,,,,,,,
ERG009,Kenya and Tanzania coast,,,,,,,,,
ERG010,North Mozambique coast,,,,,,,,,
ERG011,South Mozambique coast,,,,,,,,,
ERG012,Eastern coast South Africa,,,,,,,,,
ERG013,Mayotte and Comoros,0,0,0,,,,,,
ERG014,Northern Seychelles,,,,,,,,,
ERG015,Southern Seychelles,,,,,,,,,
ERG016,North Madagascar,,,,,,,,,
ERG017,South Madagascar,,,,,,,,,
ERG018,Mascarene Islands,,,,,,,,,
ERG019,Chagos Archipelago,,,,,,,,,
ERG020,Maldive Islands,0,0,0,,,,0,0,0
ERG021,Lakshadweep Islands,,,,,,,,,
ERG022,"Gulf of Kutch, India",,,,,,,,,
ERG023,South and west India coast,,,,,,,,,
ERG024,South Sri Lanka,,,,,,,,,
ERG025,North Sri Lanka and east India,,,,,,,,,
ERG026,North Myanmar and Bangladesh,,,,,,,,,
ERG027,"Gulf of Martaban, Myanmar",,,,,,,,,
ERG028,Andaman Sea,2,0,1,0,0,0,,,
ERG029,Andaman Islands,,,,,,,,,
ERG030,Nicobar Islands,,,,,,,,,
ERG031,West Sumatra,,,,,,,,,
ERG032,Strait of Malacca,,,,,,,,,
ERG033,Java Sea,,,,,,,,,
ERG034,South Java,,,,,,,,,
ERG035,Lesser Sunda Islands and Savu Sea,2,0,0,2,0,-2,0,-2,0
ERG036,"Makassar Strait, Indonesia",,,,,,,,,
ERG037,"Gulf of Tomini, Indonesia",,,,,,,,,
ERG038,Banda Sea and Molucca Islands,,,,,,,,,
ERG039,North Arafura Sea Islands,,,,,,,,,
ERG040,Coastal south-west Papua,,,,,,,,,
ERG041,"Cenderawasih Bay, Papua",,,,,,,,,
ERG042,"Birds Head Peninsula, Papua",,,,,,,,,
ERG043,"Halmahera, Indonesia",,,,,,,,,
ERG044,Celebes Sea,0,0,0,,,,0,0,0
ERG045,Sulu Sea,-2,-2,-2,0,-2,0,0,-2,0
ERG046,South-east Philippines,0,0,-2,0,0,-1,0,0,-1
ERG047,North Philippines,2,0,0,,,,1,0,0
ERG048,South China Sea,,,,,,,,,
ERG049,"Sunda Shelf, south-east Asia",0,2,0,0,2,0,0,1,0
ERG050,Gulf of Thailand,-2,-2,-2,0,0,0,-2,-2,-2
ERG051,South Vietnam,,,,,,,,,
ERG052,Central Vietnam,,,,,,,,,
ERG053,North Vietnam,,,,,,,,,
ERG054,"Hainan, South China Sea",,,,,,,,,
ERG055,Hong Kong,-1,0,0,0,-1,0,-1,0,1
ERG056,Taiwan and coastal China,0,0,1,,,,0,0,1
ERG057,"South Ryukyu Islands, Japan",,,,,,,,,
ERG058,"North Ryukyu Islands, Japan",,,,,,,,,
ERG059,"South-east Kyushu, Japan",,,,,,,,,
ERG060,North Kyushu and South Korea,,,,,,,,,
ERG061,"Shikoku, Japan",,,,,,,,,
ERG062,"Honshu, Japan",,,,,,,,,
ERG063,"Ogasawara Islands, Japan",,,,,,,,,
ERG064,"Okinotorishima, Japan",,,,,,,,,
ERG065,Marianas,,,,,,,,,
ERG066,Palau,,,,,,,,,
ERG067,Helen Reef,,,,,,,,,
ERG068,"Yap Islands, Micronesia",,,,,,,,,
ERG069,"Caroline Islands, Micronesia",,,,,,,,,
ERG070,"Pohnpei and Kosrae, Micronesia",,,,,,,,,
ERG071,Marshall Islands,,,,,,,,,
ERG072,"Gilbert Islands, west Kiribati",,,,,,,,,
ERG073,"Bismarck Sea, New Guinea",,,,,,,,,
ERG074,Solomon Islands and Bougainville,,,,,,,,,
ERG075,"Milne Bay, Papua New Guinea",,,,,,,,,
ERG076,"Gulf of Papua, Papua New Guinea",,,,,,,,,
ERG077,Torres Strait and far northern Great Barrier Reef,,,,,,,,,
ERG078,Central and northern Great Barrier Reef,0,0,0,0,0,0,,,
ERG079,Coral Sea,,,,,,,,,
ERG080,"Pompey and Swain Reefs, south-east Great Barrier Reef",,,,,,,,,
ERG081,Southern Great Barrier Reef,0,1,0,0,1,0,,,
ERG082,"Moreton Bay, eastern Australia",0,2,2,0,0,0,0,-1,1
ERG083,"Solitary Islands, eastern Australia",,,,,,,,,
ERG084,"Central New South Wales, south-eastern Australia",,,,,,,,,
ERG085,South-east Australia,,,,,,,,,
ERG086,"Lord Howe Island, east Australia",,,,,,,,,
ERG087,"Elizabeth and Middleton Reefs, eastern Australia",,,,,,,,,
ERG088,Norfolk Island,,,,,,,,,
ERG089,"Recherche Archipelago, south-west Australia",,,,,,,,,
ERG090,"Geographe Bay, south-west Australian coast",,,,,,,,,
ERG091,"Direction Bank, south-west Australian coast",,,,,,,,,
ERG092,"Houtman Abrolhos Islands, west Australia",,,,,,,,,
ERG093,"Shark Bay, west Australia",,,,,,,,,
ERG094,Ningaloo Reef and coastal north-west Australia,,,,,,,,,
ERG095,"Rowley Shoals, west Australia",,,,,,,,,
ERG096,"Scott Reef, west Australia",,,,,,,,,
ERG097,"Kimberley Coast, north-west Australia",,,,,,,,,
ERG098,"Ashmore Reef, north-west Australia",,,,,,,,,
ERG099,"Darwin, north Australia",,,,,,,,,
ERG100,"Arnhem Land, north Australia",,,,,,,,,
ERG101,Arafura Sea,,,,,,,,,
ERG102,Timor Sea,,,,,,,,,
ERG103,"Joseph Bonaparte Gulf, north-west Australia",,,,,,,,,
ERG104,"Gulf of Carpentaria, northern Australia",,,,,,,,,
ERG105,"Christmas Island, Indian Ocean",,,,,,,,,
ERG106,"Cocos Keeling Atolls, Indian Ocean",,,,,,,,,
ERG107,New Caledonia,,,,,,,,,
ERG108,Vanuatu,0,0,0,,,,0,0,0
ERG109,"Kermadec Islands, south Pacific",,,,,,,,,
ERG110,"Phoenix Islands, central Kiribati",,,,,,,,,
ERG111,Fiji,1,2,1,0,0,0,1,2,1
ERG112,"Samoa, Tuvalu and Tonga",,,,,,,,,
ERG113,"Cook Islands, south-west Pacific",,,,,,,,,
ERG114,"Austral Islands, French Polynesia",,,,,,,,,
ERG115,"Society Islands, French Polynesia",0,-1,-1,,,,0,-1,-1
ERG116,"Western Tuamotu Archipelago, central Pacific",,,,,,,,,
ERG117,Pitcairn and south-east Tuamoto Archipelago,,,,,,,,,
ERG118,"Line Islands, south-east Kiribati",,,,,,,,,
ERG119,"Marquesas Islands, French Polynesia",,,,,,,,,
ERG120,"Line Islands, north-east Kiribati",,,,,,,,,
ERG121,"Johnston Atoll, north central Pacific",,,,,,,,,
ERG122,North-west Hawaii,,,,,,,,,
ERG123,Eastern Hawaii,0,0,0,0,0,0,0,0,0
ERG124,"Easter Island, south central Pacific",,,,,,,,,
ERG125,Gulf of California,,,,,,,,,
ERG126,Western Mexico and Revillagigedo Islands,,,,,,,,,
ERG127,"Clipperton Atoll, eastern Pacific",,,,,,,,,
ERG128,"Guatemala, El Salvador and Nicaragua, Pacific coast",,,,,,,,,
ERG129,"Costa Rica and Panama, Pacific coast",,,,,,,,,
ERG130,"Colombia, Ecuador and Chile, Pacific coast",,,,,,,,,
ERG131,"Isla de Malpelo, Colombia",,,,,,,,,
ERG132,"Cocos Island, Costa Rica",,,,,,,,,
ERG133,Galapagos Islands,,,,,,,,,
ERG134,"Flower Garden Banks, Gulf of Mexico",,,,,,,,,
ERG135,"Bay of Campeche, Yucatan, Gulf of Mexico",,,,,,,,,
ERG136,Belize and west Caribbean,0,0,-1,0,-2,0,1,2,1
ERG137,Netherlands Antilles and south Caribbean,0,0,0,0,0,0,0,0,0
ERG138,"Hispaniola, Puerto Rico and Lesser Antilles",2,0,0,1,0,0,2,-2,0
ERG139,Jamaica,2,0,0,0,0,0,2,0,0
ERG140,Cuba and Cayman Islands,,,,,,,,,
ERG141,Bahamas and Florida Keys,0,0,0,0,0,-1,0,0,0
ERG142,North Florida to North Carolina,,,,,,,,,
ERG143,Bermuda,,,,,,,,,
ERG144,Brazil,2,2,2,1,1,2,2,0,1
ERG145,Central Atlantic,,,,,,,,,
ERG146,Gulf of Guinea to Sierra Leone,,,,,,,,,
ERG147,Cape Verde Islands,,,,,,,,,
ERG148,Canary Islands,,,,,,,,,
ERG149,Madeira and Azores Islands,,,,,,,,,
ERG150,Mediterranean,,,,,,,,,
